Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,codingLge,frontSkills,backFrame,db,deploy,tool,targetTask
>35,Undergraduate,Man,Dev,8,4,17412.0,6,0,1,1,1,1,0,0,0
<35,Other,Man,Dev,4,2,14844.0,9,0,1,1,1,1,1,1,0
>35,Master,Man,NotDev,3,3,98321.0,5,0,1,0,0,1,1,1,0
>35,Other,Man,Dev,16,14,54049.0,17,1,1,0,1,1,1,1,0
>35,Master,Man,Dev,26,24,115784.0,15,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,10,6,56616.0,11,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,14,11,69183.0,7,0,1,0,0,1,1,1,0
>35,Undergraduate,Man,Dev,24,18,25944.0,12,1,1,1,1,1,1,1,0
>35,Other,Man,Dev,35,25,60752.0,4,0,1,1,0,0,0,0,0
>35,Undergraduate,Man,Dev,6,3,16704.0,22,0,1,1,1,1,1,1,1
>35,Undergraduate,Man,Dev,23,15,81420.0,18,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,7,3,14280.0,5,0,1,1,1,0,0,1,0
>35,Master,Man,Dev,20,13,84019.0,15,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,20,18,63648.0,20,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,5,1,4620.0,17,1,1,1,0,1,1,1,0
<35,Master,Man,Dev,10,9,70000.0,15,0,1,1,1,1,1,1,0
<35,Other,Man,Dev,12,7,91883.0,20,0,1,1,1,1,1,1,0
<35,Master,Man,Dev,3,2,30192.0,7,0,1,0,1,1,1,1,0
<35,Undergraduate,Man,Dev,10,5,90000.0,12,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,20,20,21600.0,20,1,1,1,1,1,1,1,1
<35,Undergraduate,Man,Dev,15,6,50592.0,9,1,1,0,1,1,1,0,1
<35,Undergraduate,Man,Dev,10,1,1512.0,32,1,1,1,1,1,1,1,0
<35,Master,Woman,NotDev,9,2,193000.0,5,0,0,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,9,4,28536.0,14,0,1,1,1,1,1,1,0
>35,Master,Man,NotDev,4,2,96874.0,14,0,1,1,1,1,1,1,1
>35,Undergraduate,Man,Dev,24,14,77556.0,15,1,1,0,1,1,1,1,0
>35,Undergraduate,Man,Dev,21,14,103408.0,19,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,28,22,121979.0,7,0,1,0,0,0,1,1,0
<35,PhD,Man,Dev,15,9,75492.0,14,0,1,1,1,1,1,1,1
<35,Undergraduate,Man,Dev,10,8,84316.0,29,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,31,26,43404.0,16,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,6,2,22584.0,14,1,1,1,1,1,0,1,0
<35,Undergraduate,Man,Dev,14,7,103408.0,4,0,1,0,0,1,0,1,0
<35,Master,Man,Dev,15,5,44320.0,20,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,30,22,165000.0,29,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,13,3,5268.0,13,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,10,5,51888.0,14,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,12,7,85500.0,16,0,1,1,0,1,1,1,0
<35,Undergraduate,Man,Dev,7,7,48000.0,12,1,1,1,1,1,1,0,0
<35,Master,Man,Dev,12,9,64859.0,6,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,6,3,42158.0,11,0,1,1,1,1,1,1,1
<35,Undergraduate,NonBinary,Dev,18,7,32424.0,2,0,1,0,0,0,0,1,0
<35,Undergraduate,Man,NotDev,2,2,60000.0,12,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,5,5,51888.0,7,0,1,0,1,1,1,1,0
>35,PhD,Man,NotDev,16,12,35028.0,1,0,1,0,0,0,0,0,0
<35,Other,Man,NotDev,9,3,9084.0,10,1,1,1,1,1,1,0,1
>35,PhD,Man,Dev,13,8,74588.0,3,0,1,1,0,0,0,0,0
<35,Undergraduate,Man,Dev,6,4,33732.0,11,0,1,1,1,0,1,1,0
<35,Master,Man,Dev,13,8,27852.0,12,1,1,1,1,1,0,1,0
<35,Undergraduate,Man,Dev,12,3,50153.0,11,0,1,0,0,0,1,1,0
<35,Master,Man,Dev,15,11,30716.0,13,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,10,7,77831.0,25,1,1,1,1,1,1,1,1
<35,Undergraduate,Woman,Dev,7,3,81624.0,13,1,1,1,1,1,1,1,0
<35,Master,Man,NotDev,6,2,54049.0,5,0,1,1,1,0,0,1,0
<35,Undergraduate,Man,Dev,10,2,10450.0,18,1,1,1,1,1,1,1,1
<35,Master,Man,Dev,7,7,41077.0,15,1,1,1,1,1,1,0,0
<35,Undergraduate,Man,Dev,10,3,45396.0,8,0,1,1,1,0,1,1,0
<35,Other,Man,Dev,4,2,19389.0,10,1,1,1,1,1,0,1,1
>35,Master,Man,Dev,24,15,77831.0,8,0,1,1,0,1,0,1,0
>35,Undergraduate,Man,Dev,18,13,160000.0,6,0,1,0,0,0,0,1,0
<35,Undergraduate,Man,Dev,12,8,200409.0,9,0,1,0,0,1,1,1,0
>35,Undergraduate,Man,Dev,37,31,185000.0,17,1,1,1,1,1,1,0,1
<35,Undergraduate,Man,NotDev,20,9,107972.0,7,0,1,0,0,0,1,1,1
<35,Undergraduate,Man,Dev,9,7,66897.0,21,1,1,1,1,1,1,1,0
>35,Other,Man,Dev,5,0,75000.0,17,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,8,6,48472.0,12,0,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,24,16,120000.0,13,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,12,12,8796.0,10,0,1,1,0,1,1,1,0
<35,Master,Woman,Dev,10,10,12972.0,32,1,1,1,1,1,1,1,1
<35,Other,Man,Dev,5,3,4272.0,17,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,9,4,28105.0,10,0,1,1,0,1,1,1,0
>35,Other,Man,Dev,30,20,77832.0,10,0,1,0,0,1,1,1,0
<35,PhD,Man,NotDev,10,4,51704.0,5,0,1,0,1,0,0,1,1
>35,Undergraduate,Man,NotDev,23,23,18000.0,9,0,1,1,1,1,0,1,0
>35,Other,Man,Dev,20,15,43239.0,17,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,6,1,9231.0,6,0,1,0,0,1,1,1,0
>35,Undergraduate,Man,Dev,25,15,70264.0,10,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,5,2,5388.0,18,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,22,13,115000.0,10,1,1,1,1,0,1,1,0
<35,Undergraduate,Woman,Dev,21,12,144000.0,22,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,14,4,65508.0,6,0,1,0,0,0,1,1,0
>35,Master,Man,Dev,31,21,70264.0,5,0,1,0,0,1,0,0,1
>35,Undergraduate,Man,Dev,44,34,181515.0,7,0,1,0,0,0,0,1,0
>35,Undergraduate,Man,Dev,40,26,81000.0,13,0,1,1,1,1,1,1,0
>35,NoHigherEd,Man,Dev,22,22,105000.0,6,0,1,1,0,0,0,1,0
>35,Master,Man,Dev,20,5,56211.0,13,1,1,0,1,1,1,1,1
<35,Master,Man,NotDev,10,7,64630.0,7,1,1,0,0,1,1,1,0
<35,Master,Man,Dev,14,10,110000.0,6,0,1,0,0,1,0,1,0
<35,Undergraduate,Man,Dev,14,7,64860.0,10,0,1,1,1,1,1,0,0
>35,Undergraduate,Man,Dev,25,15,120000.0,21,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,7,0,6360.0,10,0,1,0,1,1,0,1,0
<35,NoHigherEd,Man,Dev,11,6,48644.0,20,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,17,11,54672.0,14,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,6,4,35676.0,15,1,1,1,1,1,1,1,1
<35,Undergraduate,Man,Dev,18,4,75631.0,3,0,1,0,0,1,1,0,0
>35,Other,Man,NotDev,41,39,70000.0,6,0,1,0,1,1,0,0,0
<35,Master,Man,NotDev,14,9,58373.0,9,0,1,0,0,1,1,0,0
<35,Undergraduate,Man,Dev,4,3,25944.0,15,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,4,2,5585.0,13,0,1,1,1,1,0,1,0
<35,Other,Woman,Dev,15,4,58000.0,8,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,18,6,61616.0,15,0,1,1,1,1,1,1,0
>35,PhD,Man,NotDev,20,13,59454.0,6,0,1,0,0,0,1,0,0
<35,PhD,Man,NotDev,15,3,55224.0,7,0,1,1,0,0,0,1,1
<35,Master,Man,Dev,11,6,68068.0,10,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,12,5,217800.0,17,0,1,1,0,1,1,1,0
>35,PhD,Man,Dev,30,14,118908.0,9,0,1,1,1,1,1,1,0
<35,NoHigherEd,Man,Dev,18,1,40000.0,6,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,15,8,71850.0,12,1,1,1,1,0,1,1,0
>35,Undergraduate,Man,Dev,21,14,66934.0,4,0,1,1,0,0,0,0,0
<35,Master,Man,Dev,8,3,54216.0,8,0,1,0,0,0,1,1,0
<35,Undergraduate,Man,Dev,12,10,64860.0,15,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,6,1,19860.0,10,0,1,0,0,1,1,1,0
<35,Other,Man,Dev,6,1,54888.0,10,0,1,1,1,1,1,1,0
<35,NoHigherEd,NonBinary,Dev,8,7,58373.0,17,0,1,1,1,1,1,1,0
>35,Master,Man,Dev,27,20,56616.0,16,0,1,0,0,1,1,1,0
<35,PhD,Man,NotDev,13,9,45401.0,17,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,2,1,48104.0,2,0,1,0,0,0,0,0,0
>35,Undergraduate,Man,Dev,24,20,84312.0,8,0,1,0,1,1,1,1,0
>35,Master,Man,Dev,25,24,55582.0,7,0,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,42,27,71093.0,2,0,1,0,0,0,0,1,0
<35,Other,Man,Dev,7,3,72000.0,30,1,1,1,1,1,1,1,1
>35,Other,Man,Dev,30,21,60752.0,14,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,9,4,25944.0,16,1,1,1,1,1,1,1,1
>35,Undergraduate,Man,Dev,26,16,179858.0,16,0,1,1,0,1,1,1,0
>35,Other,Man,Dev,26,20,30372.0,6,1,1,0,0,1,1,1,0
<35,Master,Man,Dev,15,6,29832.0,14,1,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,10,6,40020.0,16,1,1,1,1,1,1,1,0
>35,PhD,Man,NotDev,20,6,90000.0,8,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,12,3,67000.0,28,1,1,1,1,1,1,1,1
<35,Undergraduate,Man,Dev,12,4,21676.0,8,0,1,0,1,1,1,1,0
>35,Master,Man,Dev,25,16,101649.0,4,0,1,0,0,0,0,1,0
<35,Other,Man,Dev,6,4,17352.0,22,1,1,1,1,1,1,0,0
>35,Other,Man,Dev,25,16,195000.0,11,0,1,0,0,1,1,1,0
<35,Master,Man,Dev,8,7,34380.0,10,0,1,0,1,1,1,1,0
>35,PhD,Man,Dev,35,23,155111.0,9,0,1,0,1,0,1,1,0
<35,Master,Man,Dev,16,4,64860.0,12,1,1,0,1,1,1,1,0
