,precision,recall,f1-score,support
0,0.7950061652281134,0.7648279952550415,0.7796251511487303,6744.0
1,0.8032746216819647,0.8296182423776582,0.8162339299218553,7806.0
accuracy,0.7995876288659793,0.7995876288659793,0.7995876288659793,0.7995876288659793
macro avg,0.7991403934550391,0.7972231188163499,0.7979295405352929,14550.0
weighted avg,0.7994421494946952,0.7995876288659793,0.7992655722554667,14550.0
